"Domain","Process LEVEL 1 SEPT 2022","Process LEVEL 2 SEPT 2022","Process","Cost Type","RST Applicability","Process Description","Owner Grouping. (level comex-1)","SBU - Activity Name","Organizational Unit ID","OWNER  - SEPT 2022","FUNCTION","Status","Volume Name","Volume Description","HIVE Project","Customer HO / Agency","Transactional process","HO department in Charge","CARRIERS","Volume Source","Source link","Vol_Include","Business Process Owner","Process completed","Attachments","Owner","Main","Created By","Process Active From","Process Active to","Content Type","Modified","Created","Modified By","ID","Remarks"
"Shipping Ops, Log & Interm","Container Fleet Management","Stock Management","Stock Reconciliation","Delivery","Yes",,"Ind. Assets - Container Fleet Management","GBS - Container Fleet Management Shipping Delivery","OGU_201701","Industrial Assets","Equipment Mgt","Active","Per nb of stock reports",,"Stock Management","Agency",,"HO Logistics Dept","SHIPPING","<span style=""color&#58;black;"">​<span style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;background-color&#58;rgb(255, 255, 255);display&#58;inline !important;"">​Manual excel</span></span><br>",,"Y",,"False","0","Logistics & Operations","False","SAVOSTIANOFF Igor",,,"Item","9/1/2026 12:27 AM","6/4/2021 8:41 AM","AHMED SHARIFF Mohammed","313",
"Finance","Procure to pay","Accounts Payable Booking","AP Booking Corporate","Delivery","Yes","Booking of local expenses in Accounting system, C-Mona & C&Go","Finance","GBS - Finance Logistics Delivery","OGU_201650","Finance","1. Payables","Active","Per nb of Invoices booked","Booking of local expenses in Accounting system, C-Mona & C&Go","Procure to pay","Agency","Yes","HO Cost control Dept","ALL BUs","<div>Ocean/SAP</div>",,"Y",,"False","0","Finance & performance","False","SAVOSTIANOFF Igor",,,"Item","9/1/2026 12:28 AM","6/4/2021 8:41 AM","AHMED SHARIFF Mohammed","316",
"Finance","Procure to pay","Accounts Payable Booking","AP Booking Modular","Delivery","Yes","Booking and reconciliation of Transport and Feeder invoices in LARA. Interfacing to account system. Few exceptions are booked directly in ERP","Finance","GBS - Finance Logistics Delivery","OGU_201650","Finance","1. Payables","Active","Per nb of Invoices booked","Booking and reconciliation of Transport and Feeder invoices in LARA. Interfacing to account system. Few exceptions are booked directly in ERP
","Procure to pay","Agency","Yes","HO Cost control Dept","SHIPPING","<span style=""color&#58;black;"">​<div style=""margin&#58;0px;background-color&#58;rgb(255, 255, 255);font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;""><b>GBSI</b></div><div style=""margin&#58;0px;background-color&#58;rgb(255, 255, 255);font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;""><div style=""margin&#58;0px;""><span style=""margin&#58;0px;"">Ocean&#160;</span><span style=""margin&#58;0px;"">R11 &amp; R12 /&#160;</span><span style=""margin&#58;0px;"">Sage /&#160;</span><span style=""margin&#58;0px;"">LISA&#160;</span><div style=""margin&#58;0px;""><p style=""margin&#58;0px;""><br></p><p style=""margin&#58;0px;""><b>GBSC</b></p><div style=""margin&#58;0px;""><span style=""margin&#58;0px;background-color&#58;rgb(255, 255, 255);display&#58;inline !important;"">Oracle Discoverer - China/Japan/Korea/Taiwan</span><br></div><p style=""margin&#58;0px;"">C-report &#160;- HongKong<br></p><div style=""margin&#58;0px;""><p style=""margin&#58;0px;""><br></p><p style=""margin&#58;0px;"">Split type&#58; Trade / Modular / Corporate</p></div></div></div></div></span><br>","<span style=""color&#58;black;""><a href=""/sites/CMA-GlobalBusinessServices/Shared%20Documents/Forms/AllItems.aspx?ga=1&amp;id=/sites/CMA-GlobalBusinessServices/Shared%20Documents/Shared%20KPIs/F%26A%20processes%20-%20volume%20of%20transaction%20PIC%20%26%20data%20source/Procure%20to%20Pay/AP%20Payment&amp;viewid=4d22bbf0-1e02-4f79-9aaa-fb82a4b4c210"" title=""​GBS Governance SharePoint"">​GBS Governance SharePoint</a></span><br>","Y",,"False","0","Finance & performance","False","SAVOSTIANOFF Igor",,,"Item","9/1/2026 12:28 AM","6/4/2021 8:41 AM","AHMED SHARIFF Mohammed","317",
"Finance","Procure to pay","Accounts Payable Booking","AP Booking Trade","Delivery","Yes","Booking of Trade costs (except modular and corporate invoices) in Accounting System, LARA or VCR. ","Finance","GBS - Finance Logistics Delivery","OGU_201650","Finance","1. Payables","Active","Per nb of Invoices booked","Booking of Trade costs (except modular and corporate invoices) in Accounting System, LARA or VCR. 
","Procure to pay","Agency","Yes","HO Cost control Dept","ALL BUs","<span style=""color&#58;black;""><b>​</b></span><b>GBSI</b></div><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(0, 0, 0);""><div style=""margin-top&#58;0px;margin-bottom&#58;0px;""><span>Ocean&#160;</span><span style=""font-size&#58;11pt;"">R11 &amp; R12 /&#160;</span><span style=""font-size&#58;11pt;"">Sage /&#160;</span><span style=""font-size&#58;11pt;"">LISA&#160;</span><div><p><br></p><p><b>GBSC</b></p><div style=""margin-top&#58;0px;margin-bottom&#58;0px;""><span style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;background-color&#58;rgb(255, 255, 255);display&#58;inline !important;"">Oracle Discoverer - China/Japan/Korea/Taiwan</span><br></div><p>C-report &#160;- HongKong<br></p><div style=""""><p><br></p><p>Split type&#58; Trade / Modular / Corporate</p><br></div><br><p></p><br></div></div>","<a href=""/sites/CMA-GlobalBusinessServices/Shared%20Documents/Forms/AllItems.aspx?ga=1&amp;id=/sites/CMA-GlobalBusinessServices/Shared%20Documents/Shared%20KPIs/F%26A%20processes%20-%20volume%20of%20transaction%20PIC%20%26%20data%20source/Procure%20to%20Pay/AP%20Payment&amp;viewid=4d22bbf0-1e02-4f79-9aaa-fb82a4b4c210"" title=""GBS Governance Sharepoint"">GBS Governance Sharepoint</a>","Y",,"False","0","Finance & performance","True","SAVOSTIANOFF Igor",,,"Item","9/1/2026 12:28 AM","6/4/2021 8:41 AM","AHMED SHARIFF Mohammed","318",
"Finance","Procure to pay","Accounts Payable Classification","AP Classification","Delivery","Yes","Reception of Supplier invoices. Split and Merge process. Splitting by cost type to ensure routing to the correct AP Booking team.","Finance","GBS - Finance Logistics Delivery","OGU_201653","Finance","1. Payables","Active","Per nb of invoices","Reception of Supplier invoices.  Splitting by cost type to ensure routing to the correct AP Booking team.","Procure to pay","Agency","Yes","HO Cost control Dept","ALL BUs",,,"N",,"False","0","Finance & performance","False","SAVOSTIANOFF Igor",,,"Item","9/1/2026 12:28 AM","6/4/2021 8:41 AM","AHMED SHARIFF Mohammed","319",
"Finance","Procure to pay","Accounts Payable Helpdesk","AP Helpdesk","Delivery","Yes","Handling of all queries from Suppliers. Follow up with various stakeholders within the group to resolve RFI's. Act as VMD requestor.","Finance","GBS - Finance Logistics Delivery","OGU_201651","Finance","1. Payables","Active","Per nb of calls and emails","Handling of all queries from Suppliers. Follow up with various stakeholders within the group to resolve RFI's. Act as VMD requestor.","Procure to pay","Agency","No","HO Cost control Dept","ALL BUs",,,"N",,"False","0","Finance & performance","False","SAVOSTIANOFF Igor",,,"Item","9/1/2026 12:28 AM","6/4/2021 8:41 AM","AHMED SHARIFF Mohammed","320",
"Finance","Procure to pay","Accounts Payable Payment","AP payment","Delivery","Yes","Performing the payment initiation in ERP's. Pushing to the approver to release the payment to the supplier","Finance","GBS - Finance Logistics Delivery","OGU_201652","Finance","1. Payables","Active","Per nb of invoices","Performing the payment initiation in ERP's. Pushing to the approver to release the payment to the supplier
","Procure to pay","Agency","Yes","HO Cost control Dept","ALL BUs","<div>OCEAN</div>","<a href=""/sites/CMA-GlobalBusinessServices/Shared%20Documents/Forms/AllItems.aspx?ga=1&amp;id=/sites/CMA-GlobalBusinessServices/Shared%20Documents/Shared%20KPIs/F%26A%20processes%20-%20volume%20of%20transaction%20PIC%20%26%20data%20source/Procure%20to%20Pay/AP%20Payment/GBSI%20working%20files&amp;viewid=4d22bbf0-1e02-4f79-9aaa-fb82a4b4c210"" title=""GBS Sharepoint link"">GBS Sharepoint link</a>","Y",,"False","0","Finance & performance","False","SAVOSTIANOFF Igor",,,"Item","9/1/2026 12:28 AM","6/4/2021 8:41 AM","AHMED SHARIFF Mohammed","321",
"Finance","Procure to pay","Other Procure to Pay","AP Reporting","Delivery","Yes","Preparation of AP related reports","Finance","GBS - Finance Logistics Delivery","OGU_201655","Finance","1. Payables","Active","Per nb of report send","Preparation of AP related reports
","Procure to pay","Agency","No","HO Cost control Dept","ALL BUs",,,"Y",,"False","0","Finance & performance","False","SAVOSTIANOFF Igor",,,"Item","9/1/2026 12:28 AM","6/4/2021 8:41 AM","AHMED SHARIFF Mohammed","322",
"Finance","Procure to pay","Accounts Payable Helpdesk","AP RFI Resolution","Delivery","Yes","Contact the ROI responders across the group (agency Finance / ILS team /RCC /PCR /Equipment team etc) to provide resolution ","Finance","GBS - Finance Logistics Delivery","OGU_201651","Finance","1. Payables","Active","Per nb of RFI resolved","Send RFIs, request for information to provide resolution","Procure to pay","Agency","No","HO Cost control Dept","ALL BUs",,,"N",,"False","0","Finance & performance","False","SAVOSTIANOFF Igor",,,"Item","9/1/2026 12:28 AM","6/4/2021 8:41 AM","AHMED SHARIFF Mohammed","323",
"Finance","Procure to pay","Accounts Payable Helpdesk","AP SOA","Delivery","Yes","Reconciliation of the Statement of Account of the Suppliers ","Finance","GBS - Finance Logistics Delivery","OGU_201651","Finance","1. Payables","Active","Per nb of statement of account send","Reconciliation of the Statement of Account of the Suppliers 
","Procure to pay","Agency","No","HO Cost control Dept","ALL BUs",,,"Y",,"False","0","Finance & performance","False","SAVOSTIANOFF Igor",,,"Item","9/1/2026 12:28 AM","6/4/2021 8:41 AM","AHMED SHARIFF Mohammed","324",
